N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-38,28 MLWS	39,25					
2	-38,53 MLWS	39,50	3	36	3	83	
3	-38,78 MLWS	39,75	4	36	7	63	
4	-39,03 MLWS	40,00	5	36	12	50	
5	-39,28 MLWS	40,25	6	36	18	42	
6	-39,53 MLWS	40,50	6	36	24	42	
7	-39,78 MLWS	40,75	6	36	30	42	
8	-40,03 MLWS	41,00	6	36	36	42	
9	-40,28 MLWS	41,25	6	36	42	42	
10	-40,53 MLWS	41,50	6	36	48	42	
11	-40,78 MLWS	41,75	5	36	53	50	
12	-41,03 MLWS	42,00	6	36	59	42	
13	-41,28 MLWS	42,25	6	36	65	42	
14	-41,53 MLWS	42,50	6	36	71	42	
15	-41,78 MLWS	42,75	6	36	77	42	
16	-42,03 MLWS	43,00	6	36	83	42	
17	-42,28 MLWS	43,25	6	36	89	42	
18	-42,53 MLWS	43,50	6	36	95	42	
19	-42,78 MLWS	43,75	6	36	101	42	
20	-43,03 MLWS	44,00	6	36	107	42	
21	-43,28 MLWS	44,25	6	36	113	42	
22	-43,53 MLWS	44,50	6	36	119	42	
23	-43,78 MLWS	44,75	6	36	125	42	
24	-44,03 MLWS	45,00	6	36	131	42	
25	-44,28 MLWS	45,25	6	36	137	42	
26	-44,53 MLWS	45,50	5	36	142	50	
27	-44,78 MLWS	45,75	6	36	148	42	
28	-45,03 MLWS	46,00	6	36	154	42	
29	-45,28 MLWS	46,25	6	36	160	42	
30	-45,53 MLWS	46,50	5	36	165	50	
31	-45,78 MLWS	46,75	9	36	174	28	
32	-46,03 MLWS	47,00	9	36	183	28	
33	-46,28 MLWS	47,25	9	36	192	28	
34	-46,53 MLWS	47,50	9	36	201	28	
35	-46,78 MLWS	47,75	9	36	210	28	
36	-47,03 MLWS	48,00	11	36	221	23	
37	-47,28 MLWS	48,25	11	36	232	23	
38	-47,53 MLWS	48,50	11	36	243	23	
39	-47,78 MLWS	48,75	11	36	254	23	
40	-48,03 MLWS	49,00	12	36	266	21	
41	-48,28 MLWS	49,25	12	36	278	21	
42	-48,53 MLWS	49,50	12	36	290	21	
43	-48,78 MLWS	49,75	13	36	303	19	
44	-49,03 MLWS	50,00	13	36	316	19	
45	-49,28 MLWS	50,25	14	36	330	18	
46	-49,53 MLWS	50,50	14	36	344	18	
47	-49,78 MLWS	50,75	15	36	359	17	
48	-50,03 MLWS	51,00	22	36	381	11	
49	-50,28 MLWS	51,25	22	36	403	11	
50	-50,53 MLWS	51,50	28	42	431	9	
51	-50,78 MLWS	51,75	25	42	456	10,0	
52	-51,03 MLWS	52,00	25	55	481	10,0	
53	-51,28 MLWS	52,25	23	59	504	10,9	
54	-51,53 MLWS	52,50	24	59	528	10,4	
55	-51,78 MLWS	52,75	21	59	549	11,9	
56	-52,03 MLWS	53,00	22	59	571	11,4	
57	-52,28 MLWS	53,25	23	59	594	10,9	
58	-52,53 MLWS	53,50	23	59	617	10,9	
59	-52,78 MLWS	53,75	23	59	640	10,9	
60	-53,03 MLWS	54,00	23	59	663	10,9	
61	-53,28 MLWS	54,25	23	58	686	10,9	
62	-53,53 MLWS	54,50	24	58	710	10,4	
63	-53,78 MLWS	54,75	24	58	734	10,4	
64	-54,03 MLWS	55,00	24	58	758	10,4	
65	-54,28 MLWS	55,25	24	58	782	10,4	
66	-54,53 MLWS	55,50	26	58	808	9,6	
67	-54,78 MLWS	55,75	25	58	833	10,0	
68	-55,03 MLWS	56,00	25	58	858	10,0	
69	-55,28 MLWS	56,25	24	58	882	10,4	
70	-55,53 MLWS	56,50	23	58	905	10,9	
71	-55,78 MLWS	56,75	20	61	925	12,5	
72	-56,03 MLWS	57,00	17	61	942	14,7	
73	-56,28 MLWS	57,25	17	61	959	14,7	
74	-56,53 MLWS	57,50	21	61	980	11,9	
75	-56,78 MLWS	57,75	20	61	1.000	12,5	
76	-57,03 MLWS	58,00	20	54	1.020	12,5	
77	-57,28 MLWS	58,25	20	54	1.040	12,5	
78	-57,53 MLWS	58,50	20	54	1.060	12,5	
79	-57,78 MLWS	58,75	20	54	1.080	12,5	
80	-58,03 MLWS	59,00	20	54	1.100	12,5	
81	-58,28 MLWS	59,25	22	54	1.122	11,4	
82	-58,53 MLWS	59,50	23	54	1.145	10,9	
83	-58,78 MLWS	59,75	24	54	1.169	10,4	
84	-59,03 MLWS	60,00	36	54	1.205	6,9	
85	-59,28 MLWS	60,25	36	54	1.241	6,9	
86	-59,53 MLWS	60,50	36	85	1.277	6,9	
87	-59,78 MLWS	60,75	35	9	1.312	7,1	
88	-60,03 MLWS	61,00	30	110	1.342	8,3	
89	-60,28 MLWS	61,25	25	120	1.367	10,0	
90	-60,53 MLWS	61,50	25	120	1.392	10,0	
91	-60,78 MLWS	61,75	24	120	1.416	10,4	
92	-61,03 MLWS	62,00	23	110	1.439	10,9	
93	-61,28 MLWS	62,25	23	105	1.462	10,9	
94	-61,53 MLWS	62,50	24	105	1.486	10,4	
95	-61,78 MLWS	62,75	24	105	1.510	10,4	
96	-62,03 MLWS	63,00	23	105	1.533	10,9	
97	-62,28 MLWS	63,25	23	105	1.556	10,9	
98	-62,53 MLWS	63,50	23	105	1.579	10,9	
99	-62,78 MLWS	63,75	23	100	1.602	10,9	
100	-63,03 MLWS	64,00	24	100	1.626	10,4	
101	-63,28 MLWS	64,25	24	100	1.650	10,4	
102	-63,53 MLWS	64,50	23	100	1.673	10,9	
103	-63,78 MLWS	64,75	21	100	1.694	11,9	
104	-64,03 MLWS	65,00	21	100	1.715	11,9	
105	-64,28 MLWS	65,25	23	100	1.738	10,9	
106	-64,53 MLWS	65,50	23	110	1.761	10,9	
107	-64,78 MLWS	65,75	23	110	1.784	10,9	
108	-65,03 MLWS	66,00	22	110	1.806	11,4	
