ID_VIA_250,VALFIS,VUL,TIPO,SUPERFICIE,CALZADAS,LYR,REGION,LONG_KM,LS_B_A,LS_G26_30A,LS_G26_50A,LS_G45_30A,LS_G45_50A,LS_G70_30A,LS_G70_50A,LS_G85_30A,LS_G85_50A,LS_M26_30A,LS_M26_50A,LS_M45_30A,LS_M45_50A,LS_M70_30A,LS_M70_50A,LS_M85_30A,LS_M85_50A,FL_B_A,FL_G26_30A,FL_G26_50A,FL_G45_30A,FL_G45_50A,FL_G70_30A,FL_G70_50A,FL_G85_30A,FL_G85_50A,FL_M26_30A,FL_M26_50A,FL_M45_30A,FL_M45_50A,FL_M70_30A,FL_M70_50A,FL_M85_30A,FL_M85_50A,HU_B_A,HU_G26_30A,HU_G26_50A,HU_G45_30A,HU_G45_50A,HU_G70_30A,HU_G70_50A,HU_G85_30A,HU_G85_50A,HU_M26_30A,HU_M26_50A,HU_M45_30A,HU_M45_50A,HU_M70_30A,HU_M70_50A,HU_M85_30A,HU_M85_50A,DEPTO,ID_2,,,,,,,,,
ID_626342,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626343,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626344,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626345,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626346,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626347,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626348,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626349,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626350,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626351,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626352,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626353,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626354,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,323,340,355,327,350,353,346,340,355,320,341,310,325,326,311,317,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626355,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626356,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626357,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626358,156900,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626359,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,400,429,442,414,450,436,438,438,462,405,420,403,411,403,382,402,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626360,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,400,429,442,414,449,436,437,437,462,405,420,403,410,403,382,402,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
