N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-40,05 MLWS	41,25					
2	-40,30 MLWS	41,50	4	36	4	63	
3	-40,55 MLWS	41,75	6	36	10	42	
4	-40,80 MLWS	42,00	8	36	18	31	
5	-41,05 MLWS	42,25	8	36	26	31	
6	-41,30 MLWS	42,50	8	36	34	31	
7	-41,55 MLWS	42,75	7	36	41	36	
8	-41,80 MLWS	43,00	7	36	48	36	
9	-42,05 MLWS	43,25	7	36	55	36	
10	-42,30 MLWS	43,50	7	36	62	36	
11	-42,55 MLWS	43,75	8	36	70	31	
12	-42,80 MLWS	44,00	8	36	78	31	
13	-43,05 MLWS	44,25	8	36	86	31	
14	-43,30 MLWS	44,50	8	36	94	31	
15	-43,55 MLWS	44,75	8	36	102	31	
16	-43,80 MLWS	45,00	8	36	110	31	
17	-44,05 MLWS	45,25	8	36	118	31	
18	-44,30 MLWS	45,50	8	36	126	31	
19	-44,55 MLWS	45,75	10	36	136	25	
20	-44,80 MLWS	46,00	10	36	146	25	
21	-45,05 MLWS	46,25	11	36	157	23	
22	-45,30 MLWS	46,50	11	36	168	23	
23	-45,55 MLWS	46,75	13	36	181	19	
24	-45,80 MLWS	47,00	14	36	195	18	
25	-46,05 MLWS	47,25	14	36	209	18	
26	-46,30 MLWS	47,50	14	36	223	18	
27	-46,55 MLWS	47,75	16	36	239	16	
28	-46,80 MLWS	48,00	16	36	255	16	
29	-47,05 MLWS	48,25	16	36	271	16	
30	-47,30 MLWS	48,50	15	36	286	17	
31	-47,55 MLWS	48,75	15	36	301	17	
32	-47,80 MLWS	49,00	15	36	316	17	
33	-48,05 MLWS	49,25	18	36	334	14	
34	-48,30 MLWS	49,50	18	36	352	14	
35	-48,55 MLWS	49,75	18	36	370	14	
36	-48,80 MLWS	50,00	18	36	388	14	
37	-49,05 MLWS	50,25	18	36	406	14	
38	-49,30 MLWS	50,50	18	36	424	14	
39	-49,55 MLWS	50,75	17	36	441	15	
40	-49,80 MLWS	51,00	18	36	459	14	
41	-50,05 MLWS	51,25	18	36	477	14	
42	-50,30 MLWS	51,50	24	36	501	10	
43	-50,55 MLWS	51,75	24	36	525	10	
44	-50,80 MLWS	52,00	24	36	549	10	
45	-51,05 MLWS	52,25	24	36	573	10	
46	-51,30 MLWS	52,50	24	36	597	10	
47	-51,55 MLWS	52,75	28	36	625	9	
48	-51,80 MLWS	53,00	28	36	653	9	
49	-52,05 MLWS	53,25	28	36	681	9	
50	-52,30 MLWS	53,50	28	43	709	9	
51	-52,55 MLWS	53,75	28	43	737	8,9	
52	-52,80 MLWS	54,00	28	48	765	8,9	
53	-53,05 MLWS	54,25	28	50	793	8,9	
54	-53,30 MLWS	54,50	28	50	821	8,9	
55	-53,55 MLWS	54,75	28	58	849	8,9	
56	-53,80 MLWS	55,00	33	58	882	7,6	
57	-54,05 MLWS	55,25	28	58	910	8,9	
58	-54,30 MLWS	55,50	30	58	940	8,3	
59	-54,55 MLWS	55,75	30	60	970	8,3	
60	-54,80 MLWS	56,00	30	60	1.000	8,3	
61	-55,05 MLWS	56,25	29	66	1.029	8,6	
62	-55,30 MLWS	56,50	26	66	1.055	9,6	
63	-55,55 MLWS	56,75	28	68	1.083	8,9	
64	-55,80 MLWS	57,00	28	70	1.111	8,9	
65	-56,05 MLWS	57,25	28	70	1.139	8,9	
66	-56,30 MLWS	57,50	30	70	1.169	8,3	
67	-56,55 MLWS	57,75	30	72	1.199	8,3	
68	-56,80 MLWS	58,00	29	72	1.228	8,6	
69	-57,05 MLWS	58,25	29	72	1.257	8,6	
70	-57,30 MLWS	58,50	29	80	1.286	8,6	
71	-57,55 MLWS	58,75	28	85	1.314	8,9	
72	-57,80 MLWS	59,00	27	95	1.341	9,3	
73	-58,05 MLWS	59,25	27	95	1.368	9,3	
74	-58,30 MLWS	59,50	26	95	1.394	9,6	
75	-58,55 MLWS	59,75	25	100	1.419	10,0	
76	-58,80 MLWS	60,00	25	100	1.444	10,0	
77	-59,05 MLWS	60,25	25	100	1.469	10,0	
78	-59,30 MLWS	60,50	27	105	1.496	9,3	
79	-59,55 MLWS	60,75	27	105	1.523	9,3	
80	-59,80 MLWS	61,00	25	110	1.548	10,0	
81	-60,05 MLWS	61,25	25	110	1.573	10,0	
