N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-38,34 MLWS	39,50					
2	-38,59 MLWS	39,75	3	36	3	83	
3	-38,84 MLWS	40,00	7	36	10	36	
4	-39,09 MLWS	40,25	7	36	17	36	
5	-39,34 MLWS	40,50	7	36	24	36	
6	-39,59 MLWS	40,75	6	36	30	42	
7	-39,84 MLWS	41,00	6	36	36	42	
8	-40,09 MLWS	41,25	6	36	42	42	
9	-40,34 MLWS	41,50	6	36	48	42	
10	-40,59 MLWS	41,75	6	36	54	42	
11	-40,84 MLWS	42,00	6	36	60	42	
12	-41,09 MLWS	42,25	6	36	66	42	
13	-41,34 MLWS	42,50	6	36	72	42	
14	-41,59 MLWS	42,75	7	36	79	36	
15	-41,84 MLWS	43,00	7	36	86	36	
16	-42,09 MLWS	43,25	7	36	93	36	
17	-42,34 MLWS	43,50	7	36	100	36	
18	-42,59 MLWS	43,75	7	36	107	36	
19	-42,84 MLWS	44,00	7	36	114	36	
20	-43,09 MLWS	44,25	9	36	123	28	
21	-43,34 MLWS	44,50	8	36	131	31	
22	-43,59 MLWS	44,75	9	36	140	28	
23	-43,84 MLWS	45,00	9	36	149	28	
24	-44,09 MLWS	45,25	9	36	158	28	
25	-44,34 MLWS	45,50	9	36	167	28	
26	-44,59 MLWS	45,75	9	36	176	28	
27	-44,84 MLWS	46,00	9	36	185	28	
28	-45,09 MLWS	46,25	9	36	194	28	
29	-45,34 MLWS	46,50	10	36	204	25	
30	-45,59 MLWS	46,75	11	36	215	23	
31	-45,84 MLWS	47,00	12	36	227	21	
32	-46,09 MLWS	47,25	12	36	239	21	
33	-46,34 MLWS	47,50	12	36	251	21	
34	-46,59 MLWS	47,75	14	36	265	18	
35	-46,84 MLWS	48,00	19	36	284	13	
36	-47,09 MLWS	48,25	16	36	300	16	
37	-47,34 MLWS	48,50	16	36	316	16	
38	-47,59 MLWS	48,75	16	36	332	16	
39	-47,84 MLWS	49,00	14	36	346	18	
40	-48,09 MLWS	49,25	14	36	360	18	
41	-48,34 MLWS	49,50	15	36	375	17	
42	-48,59 MLWS	49,75	16	36	391	16	
43	-48,84 MLWS	50,00	16	36	407	16	
44	-49,09 MLWS	50,25	16	36	423	16	
45	-49,34 MLWS	50,50	19	36	442	13	
46	-49,59 MLWS	50,75	19	36	461	13	
47	-49,84 MLWS	51,00	19	36	480	13	
48	-50,09 MLWS	51,25	19	36	499	13	
49	-50,34 MLWS	51,50	19	36	518	13	
50	-50,59 MLWS	51,75	19	36	537	13	
51	-50,84 MLWS	52,00	23	36	560	10,9	
52	-51,09 MLWS	52,25	23	36	583	10,9	
53	-51,34 MLWS	52,50	23	36	606	10,9	
54	-51,59 MLWS	52,75	23	36	629	10,9	
