N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-35,31 MLWS	36,50					
2	-35,56 MLWS	36,75	5	36	5	50	
3	-35,81 MLWS	37,00	5	36	10	50	
4	-36,06 MLWS	37,25	5	36	15	50	
5	-36,31 MLWS	37,50	5	36	20	50	
6	-36,56 MLWS	37,75	5	36	25	50	
7	-36,81 MLWS	38,00	5	36	30	50	
8	-37,06 MLWS	38,25	6	36	36	42	
9	-37,31 MLWS	38,50	6	36	42	42	
10	-37,56 MLWS	38,75	6	36	48	42	
11	-37,81 MLWS	39,00	6	36	54	42	
12	-38,06 MLWS	39,25	6	36	60	42	
13	-38,31 MLWS	39,50	6	36	66	42	
14	-38,56 MLWS	39,75	6	36	72	42	
15	-38,81 MLWS	40,00	6	36	78	42	
16	-39,06 MLWS	40,25	10	36	88	25	
17	-39,31 MLWS	40,50	10	36	98	25	
18	-39,56 MLWS	40,75	10	36	108	25	
19	-39,81 MLWS	41,00	10	36	118	25	
20	-40,06 MLWS	41,25	10	36	128	25	
21	-40,31 MLWS	41,50	10	36	138	25	
22	-40,56 MLWS	41,75	10	36	148	25	
23	-40,81 MLWS	42,00	10	36	158	25	
24	-41,06 MLWS	42,25	10	36	168	25	
25	-41,31 MLWS	42,50	13	36	181	19	
26	-41,56 MLWS	42,75	13	36	194	19	
27	-41,81 MLWS	43,00	13	36	207	19	
28	-42,06 MLWS	43,25	13	36	220	19	
29	-42,31 MLWS	43,50	13	36	233	19	
30	-42,56 MLWS	43,75	13	36	246	19	
31	-42,81 MLWS	44,00	13	36	259	19	
32	-43,06 MLWS	44,25	13	36	272	19	
33	-43,31 MLWS	44,50	13	36	285	19	
34	-43,56 MLWS	44,75	13	36	298	19	
35	-43,81 MLWS	45,00	13	36	311	19	
36	-44,06 MLWS	45,25	13	36	324	19	
37	-44,31 MLWS	45,50	13	36	337	19	
38	-44,56 MLWS	45,75	13	36	350	19	
39	-44,81 MLWS	46,00	13	36	363	19	
40	-45,06 MLWS	46,25	18	36	381	14	
41	-45,31 MLWS	46,50	17	36	398	15	
42	-45,56 MLWS	46,75	17	36	415	15	
43	-45,81 MLWS	47,00	20	36	435	13	
44	-46,06 MLWS	47,25	20	36	455	13	
45	-46,31 MLWS	47,50	20	36	475	13	
46	-46,56 MLWS	47,75	21	36	496	12	
47	-46,81 MLWS	48,00	21	36	517	12	
48	-47,06 MLWS	48,25	21	36	538	12	
49	-47,31 MLWS	48,50	18	36	556	14	
50	-47,56 MLWS	48,75	20	36	576	13	
51	-47,81 MLWS	49,00	21	36	597	11,9	
52	-48,06 MLWS	49,25	22	36	619	11,4	
53	-48,31 MLWS	49,50	22	36	641	11,4	
54	-48,56 MLWS	49,75	22	36	663	11,4	
55	-48,81 MLWS	50,00	22	36	685	11,4	
