N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-40,86 MLWS	41,75					
2	-41,11 MLWS	42,00	5	36	5	50	
3	-41,36 MLWS	42,25	7	36	12	36	
4	-41,61 MLWS	42,50	7	36	19	36	
5	-41,86 MLWS	42,75	7	36	26	36	
6	-42,11 MLWS	43,00	7	36	33	36	
7	-42,36 MLWS	43,25	6	36	39	42	
8	-42,61 MLWS	43,50	6	36	45	42	
9	-42,86 MLWS	43,75	6	36	51	42	
10	-43,11 MLWS	44,00	6	36	57	42	
11	-43,36 MLWS	44,25	7	36	64	36	
12	-43,61 MLWS	44,50	7	36	71	36	
13	-43,86 MLWS	44,75	7	36	78	36	
14	-44,11 MLWS	45,00	7	36	85	36	
15	-44,36 MLWS	45,25	7	36	92	36	
16	-44,61 MLWS	45,50	8	36	100	31	
17	-44,86 MLWS	45,75	8	36	108	31	
18	-45,11 MLWS	46,00	8	36	116	31	
19	-45,36 MLWS	46,25	10	36	126	25	
20	-45,61 MLWS	46,50	9	36	135	28	
21	-45,86 MLWS	46,75	10	36	145	25	
22	-46,11 MLWS	47,00	10	36	155	25	
23	-46,36 MLWS	47,25	11	36	166	23	
24	-46,61 MLWS	47,50	11	36	177	23	
25	-46,86 MLWS	47,75	11	36	188	23	
26	-47,11 MLWS	48,00	11	36	199	23	
27	-47,36 MLWS	48,25	11	36	210	23	
28	-47,61 MLWS	48,50	18	36	228	14	
29	-47,86 MLWS	48,75	25	36	253	10	
30	-48,11 MLWS	49,00	28	36	281	9	
31	-48,36 MLWS	49,25	36	36	317	7	
32	-48,61 MLWS	49,50	26	51	343	10	
33	-48,86 MLWS	49,75	24	57	367	10	
34	-49,11 MLWS	50,00	32	57	399	8	
35	-49,36 MLWS	50,25	33	61	432	8	
36	-49,61 MLWS	50,50	31	65	463	8	
37	-49,86 MLWS	50,75	29	69	492	9	
38	-50,11 MLWS	51,00	36	70	528	7	
39	-50,36 MLWS	51,25	33	80	561	8	
40	-50,61 MLWS	51,50	25	95	586	10	
41	-50,86 MLWS	51,75	22	110	608	11	
42	-51,11 MLWS	52,00	22	120	630	11	
43	-51,36 MLWS	52,25	22	120	652	11	
44	-51,61 MLWS	52,50	23	110	675	11	
45	-51,86 MLWS	52,75	23	110	698	11	
46	-52,11 MLWS	53,00	25	110	723	10	
47	-52,36 MLWS	53,25	26	100	749	10	
48	-52,61 MLWS	53,50	26	100	775	10	
49	-52,86 MLWS	53,75	23	100	798	11	
50	-53,11 MLWS	54,00	23	100	821	11	
51	-53,36 MLWS	54,25	23	100	844	10,9	
52	-53,61 MLWS	54,50	21	110	865	11,9	
53	-53,86 MLWS	54,75	20	110	885	12,5	
54	-54,11 MLWS	55,00	20	90	905	12,5	
55	-54,36 MLWS	55,25	20	90	925	12,5	
56	-54,61 MLWS	55,50	20	90	945	12,5	
57	-54,86 MLWS	55,75	19	80	964	13,2	
58	-55,11 MLWS	56,00	20	80	984	12,5	
59	-55,36 MLWS	56,25	20	75	1.004	12,5	
60	-55,61 MLWS	56,50	21	75	1.025	11,9	
