N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-42,29 MLWS	43,25					
2	-42,54 MLWS	43,50	6	36	6	42	
3	-42,79 MLWS	43,75	6	36	12	42	
4	-43,04 MLWS	44,00	7	36	19	36	
5	-43,29 MLWS	44,25	7	36	26	36	
6	-43,54 MLWS	44,50	7	36	33	36	
7	-43,79 MLWS	44,75	6	36	39	42	
8	-44,04 MLWS	45,00	6	36	45	42	
9	-44,29 MLWS	45,25	6	36	51	42	
10	-44,54 MLWS	45,50	7	36	58	36	
11	-44,79 MLWS	45,75	7	36	65	36	
12	-45,04 MLWS	46,00	7	36	72	36	
13	-45,29 MLWS	46,25	7	36	79	36	
14	-45,54 MLWS	46,50	8	36	87	31	
15	-45,79 MLWS	46,75	9	36	96	28	
16	-46,04 MLWS	47,00	8	36	104	31	
17	-46,29 MLWS	47,25	9	36	113	28	
18	-46,54 MLWS	47,50	9	36	122	28	
19	-46,79 MLWS	47,75	9	36	131	28	
20	-47,04 MLWS	48,00	9	36	140	28	
21	-47,29 MLWS	48,25	11	36	151	23	
22	-47,54 MLWS	48,50	18	36	169	14	
23	-47,79 MLWS	48,75	22	36	191	11	
24	-48,04 MLWS	49,00	25	36	216	10	
25	-48,29 MLWS	49,25	29	36	245	9	
26	-48,54 MLWS	49,50	27	43	272	9	
27	-48,79 MLWS	49,75	25	54	297	10	
28	-49,04 MLWS	50,00	27	54	324	9	
29	-49,29 MLWS	50,25	27	58	351	9	
30	-49,54 MLWS	50,50	29	62	380	9	
31	-49,79 MLWS	50,75	32	68	412	8	
32	-50,04 MLWS	51,00	34	72	446	7	
33	-50,29 MLWS	51,25	25	100	471	10	
34	-50,54 MLWS	51,50	23	100	494	11	
35	-50,79 MLWS	51,75	26	100	520	10	
36	-51,04 MLWS	52,00	25	100	545	10	
37	-51,29 MLWS	52,25	23	100	568	11	
38	-51,54 MLWS	52,50	23	100	591	11	
39	-51,79 MLWS	52,75	26	90	617	10	
40	-52,04 MLWS	53,00	18	90	635	14	
41	-52,29 MLWS	53,25	23	80	658	11	
42	-52,54 MLWS	53,50	21	80	679	12	
43	-52,79 MLWS	53,75	19	75	698	13	
44	-53,04 MLWS	54,00	25	75	723	10	
45	-53,29 MLWS	54,25	25	75	748	10	
46	-53,54 MLWS	54,50	25	75	773	10	
47	-53,79 MLWS	54,75	24	75	797	10	
48	-54,04 MLWS	55,00	24	75	821	10	
49	-54,29 MLWS	55,25	24	75	845	10	
50	-54,54 MLWS	55,50	20	75	865	13	
51	-54,79 MLWS	55,75	23	75	888	10,9	
52	-55,04 MLWS	56,00	21	75	909	11,9	
53	-55,29 MLWS	56,25	23	75	932	10,9	
54	-55,54 MLWS	56,50	18	75	950	13,9	
55	-55,79 MLWS	56,75	22	62	972	11,4	
56	-56,04 MLWS	57,00	23	62	995	10,9	
57	-56,29 MLWS	57,25	23	62	1.018	10,9	
58	-56,54 MLWS	57,50	23	36	1.041	10,9	
59	-56,79 MLWS	57,75	35	36	1.076	7,1	
60	-57,04 MLWS	58,00	35	36	1.111	7,1	
61	-57,29 MLWS	58,25	31	43	1.142	8,1	
62	-57,54 MLWS	58,50	30	45	1.172	8,3	
63	-57,79 MLWS	58,75	27	56	1.199	9,3	
64	-58,04 MLWS	59,00	22	59	1.221	11,4	
65	-58,29 MLWS	59,25	25	59	1.246	10,0	
66	-58,54 MLWS	59,50	24	59	1.270	10,4	
67	-58,79 MLWS	59,75	27	59	1.297	9,3	
68	-59,04 MLWS	60,00	27	59	1.324	9,3	
69	-59,29 MLWS	60,25	27	59	1.351	9,3	
70	-59,54 MLWS	60,50	28	60	1.379	8,9	
71	-59,79 MLWS	60,75	27	62	1.406	9,3	
72	-60,04 MLWS	61,00	27	62	1.433	9,3	
73	-60,29 MLWS	61,25	21	68	1.454	11,9	
