N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,27 MLWS	38,00					
2	-37,52 MLWS	38,25	5	36	5	50	
3	-37,77 MLWS	38,50	6	36	11	42	
4	-38,02 MLWS	38,75	5	36	16	50	
5	-38,27 MLWS	39,00	6	36	22	42	
6	-38,52 MLWS	39,25	6	36	28	42	
7	-38,77 MLWS	39,50	6	36	34	42	
8	-39,02 MLWS	39,75	6	36	40	42	
9	-39,27 MLWS	40,00	6	36	46	42	
10	-39,52 MLWS	40,25	7	36	53	36	
11	-39,77 MLWS	40,50	7	36	60	36	
12	-40,02 MLWS	40,75	7	36	67	36	
13	-40,27 MLWS	41,00	6	36	73	42	
14	-40,52 MLWS	41,25	6	36	79	42	
15	-40,77 MLWS	41,50	7	36	86	36	
16	-41,02 MLWS	41,75	7	36	93	36	
17	-41,27 MLWS	42,00	7	36	100	36	
18	-41,52 MLWS	42,25	7	36	107	36	
19	-41,77 MLWS	42,50	8	36	115	31	
20	-42,02 MLWS	42,75	7	36	122	36	
21	-42,27 MLWS	43,00	7	36	129	36	
22	-42,52 MLWS	43,25	8	36	137	31	
23	-42,77 MLWS	43,50	8	36	145	31	
24	-43,02 MLWS	43,75	9	36	154	28	
25	-43,27 MLWS	44,00	8	36	162	31	
26	-43,52 MLWS	44,25	9	36	171	28	
27	-43,77 MLWS	44,50	9	36	180	28	
28	-44,02 MLWS	44,75	9	36	189	28	
29	-44,27 MLWS	45,00	9	36	198	28	
30	-44,52 MLWS	45,25	9	36	207	28	
31	-44,77 MLWS	45,50	9	36	216	28	
32	-45,02 MLWS	45,75	10	36	226	25	
33	-45,27 MLWS	46,00	10	36	236	25	
34	-45,52 MLWS	46,25	10	36	246	25	
35	-45,77 MLWS	46,50	11	36	257	23	
36	-46,02 MLWS	46,75	11	36	268	23	
37	-46,27 MLWS	47,00	12	36	280	21	
38	-46,52 MLWS	47,25	15	36	295	17	
39	-46,77 MLWS	47,50	16	36	311	16	
40	-47,02 MLWS	47,75	16	36	327	16	
41	-47,27 MLWS	48,00	16	36	343	16	
42	-47,52 MLWS	48,25	18	36	361	14	
43	-47,77 MLWS	48,50	18	36	379	14	
44	-48,02 MLWS	48,75	18	36	397	14	
45	-48,27 MLWS	49,00	16	36	413	16	
46	-48,52 MLWS	49,25	19	36	432	13	
47	-48,77 MLWS	49,50	19	36	451	13	
48	-49,02 MLWS	49,75	18	36	469	14	
49	-49,27 MLWS	50,00	18	36	487	14	
50	-49,52 MLWS	50,25	18	36	505	14	
51	-49,77 MLWS	50,50	18	36	523	13,9	
52	-50,02 MLWS	50,75	21	36	544	11,9	
53	-50,27 MLWS	51,00	20	36	564	12,5	
54	-50,52 MLWS	51,25	21	36	585	11,9	
55	-50,77 MLWS	51,50	21	36	606	11,9	
56	-51,02 MLWS	51,75	22	36	628	11,4	
57	-51,27 MLWS	52,00	28	36	656	8,9	
58	-51,52 MLWS	52,25	26	36	682	9,6	
59	-51,77 MLWS	52,50	26	36	708	9,6	
60	-52,02 MLWS	52,75	26	36	734	9,6	
61	-52,27 MLWS	53,00	26	36	760	9,6	
62	-52,52 MLWS	53,25	26	42	786	9,6	
63	-52,77 MLWS	53,50	26	45	812	9,6	
64	-53,02 MLWS	53,75	26	45	838	9,6	
65	-53,27 MLWS	54,00	25	49	863	10,0	
66	-53,52 MLWS	54,25	29	49	892	8,6	
67	-53,77 MLWS	54,50	29	49	921	8,6	
68	-54,02 MLWS	54,75	25	50	946	10,0	
69	-54,27 MLWS	55,00	26	50	972	9,6	
70	-54,52 MLWS	55,25	26	50	998	9,6	
71	-54,77 MLWS	55,50	28	56	1.026	8,9	
72	-55,02 MLWS	55,75	26	56	1.052	9,6	
73	-55,27 MLWS	56,00	28	55	1.080	8,9	
74	-55,52 MLWS	56,25	28	55	1.108	8,9	
75	-55,77 MLWS	56,50	28	58	1.136	8,9	
76	-56,02 MLWS	56,75	28	58	1.164	8,9	
77	-56,27 MLWS	57,00	26	61	1.190	9,6	
78	-56,52 MLWS	57,25	26	61	1.216	9,6	
79	-56,77 MLWS	57,50	27	61	1.243	9,3	
80	-57,02 MLWS	57,75	29	61	1.272	8,6	
81	-57,27 MLWS	58,00	29	64	1.301	8,6	
82	-57,52 MLWS	58,25	33	67	1.334	7,6	
83	-57,77 MLWS	58,50	33	70	1.367	7,6	
84	-58,02 MLWS	58,75	32	72	1.399	7,8	
85	-58,27 MLWS	59,00	30	72	1.429	8,3	
86	-58,52 MLWS	59,25	30	72	1.459	8,3	
87	-58,77 MLWS	59,50	25	100	1.484	10,0	
88	-59,02 MLWS	59,75	25	95	1.509	10,0	
89	-59,27 MLWS	60,00	26	95	1.535	9,6	
90	-59,52 MLWS	60,25	26	95	1.561	9,6	
91	-59,77 MLWS	60,50	24	95	1.585	10,4	
92	-60,02 MLWS	60,75	24	95	1.609	10,4	
93	-60,27 MLWS	61,00	26	95	1.635	9,6	
94	-60,52 MLWS	61,25	25	100	1.660	10,0	
95	-60,77 MLWS	61,50	27	95	1.687	9,3	
96	-61,02 MLWS	61,75	22	95	1.709	11,4	
97	-61,27 MLWS	62,00	26	95	1.735	9,6	
98	-61,52 MLWS	62,25	26	95	1.761	9,6	
99	-61,77 MLWS	62,50	25	95	1.786	10,0	
100	-62,02 MLWS	62,75	26	95	1.812	9,6	
101	-62,27 MLWS	63,00	28	95	1.840	8,9	151 0,48 MLWS 0,25 2.128 -
102	-62,52 MLWS	63,25	28	105	1.868	8,9	152 0,23 MLWS 0,50 2.128 -
103	-62,77 MLWS	63,50	32	105	1.900	7,8	
104	-63,02 MLWS	63,75	28	115	1.928	8,9	
105	-63,27 MLWS	64,00	24	125	1.952	10,4	
106	-63,52 MLWS	64,25	26	135	1.978	9,6	
107	-63,77 MLWS	64,50	24	120	2.002	10,4	
108	-64,02 MLWS	64,75	26	115	2.028	9,6	
109	-64,27 MLWS	65,00	26	115	2.054	9,6	
110	-64,52 MLWS	65,25	26	115	2.080	9,6	
111	-64,77 MLWS	65,50	26	115	2.106	9,6	
112	-64,97 MLWS	65,70	22	115	2.128	9,1	
