N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-39,18 MLWS	40,25					
2	-39,43 MLWS	40,50	8	36	8	31	
3	-39,68 MLWS	40,75	8	36	16	31	
4	-39,93 MLWS	41,00	8	36	24	31	
5	-40,18 MLWS	41,25	8	36	32	31	
6	-40,43 MLWS	41,50	8	36	40	31	
7	-40,68 MLWS	41,75	8	36	48	31	
8	-40,93 MLWS	42,00	8	36	56	31	
9	-41,18 MLWS	42,25	9	36	65	28	
10	-41,43 MLWS	42,50	8	36	73	31	
11	-41,68 MLWS	42,75	8	36	81	31	
12	-41,93 MLWS	43,00	8	36	89	31	
13	-42,18 MLWS	43,25	9	36	98	28	
14	-42,43 MLWS	43,50	9	36	107	28	
15	-42,68 MLWS	43,75	9	36	116	28	
16	-42,93 MLWS	44,00	10	36	126	25	
17	-43,18 MLWS	44,25	10	36	136	25	
18	-43,43 MLWS	44,50	10	36	146	25	
19	-43,68 MLWS	44,75	9	36	155	28	
20	-43,93 MLWS	45,00	12	36	167	21	
21	-44,18 MLWS	45,25	12	36	179	21	
22	-44,43 MLWS	45,50	12	36	191	21	
23	-44,68 MLWS	45,75	11	36	202	23	
24	-44,93 MLWS	46,00	11	36	213	23	
25	-45,18 MLWS	46,25	13	36	226	19	
26	-45,43 MLWS	46,50	13	36	239	19	
27	-45,68 MLWS	46,75	18	36	257	14	
28	-45,93 MLWS	47,00	15	36	272	17	
29	-46,18 MLWS	47,25	17	36	289	15	
30	-46,43 MLWS	47,50	18	36	307	14	
31	-46,68 MLWS	47,75	19	36	326	13	
32	-46,93 MLWS	48,00	18	36	344	14	
33	-47,18 MLWS	48,25	19	36	363	13	
34	-47,43 MLWS	48,50	21	36	384	12	
35	-47,68 MLWS	48,75	21	36	405	12	
36	-47,93 MLWS	49,00	21	36	426	12	
37	-48,18 MLWS	49,25	20	36	446	13	
38	-48,43 MLWS	49,50	20	36	466	13	
39	-48,68 MLWS	49,75	21	36	487	12	
40	-48,93 MLWS	50,00	24	36	511	10	
41	-49,18 MLWS	50,25	21	36	532	12	
42	-49,43 MLWS	50,50	22	36	554	11	
43	-49,68 MLWS	50,75	21	36	575	12	
44	-49,93 MLWS	51,00	21	36	596	12	
45	-50,18 MLWS	51,25	23	36	619	11	
46	-50,43 MLWS	51,50	24	36	643	10	
47	-50,68 MLWS	51,75	24	36	667	10	
48	-50,93 MLWS	52,00	26	36	693	10	
49	-51,18 MLWS	52,25	26	36	719	10	
50	-51,43 MLWS	52,50	23	36	742	11	
51	-51,68 MLWS	52,75	26	36	768	9,6	
52	-51,93 MLWS	53,00	29	43	797	8,6	
53	-52,18 MLWS	53,25	24	49	821	10,4	
54	-52,43 MLWS	53,50	27	49	848	9,3	
55	-52,68 MLWS	53,75	27	49	875	9,3	
56	-52,93 MLWS	54,00	26	53	901	9,6	
57	-53,18 MLWS	54,25	23	53	924	10,9	
58	-53,43 MLWS	54,50	23	53	947	10,9	
59	-53,68 MLWS	54,75	26	54	973	9,6	
60	-53,93 MLWS	55,00	23	58	996	10,9	
61	-54,18 MLWS	55,25	25	58	1.021	10,0	
62	-54,43 MLWS	55,50	23	58	1.044	10,9	
63	-54,68 MLWS	55,75	23	58	1.067	10,9	
64	-54,93 MLWS	56,00	24	58	1.091	10,4	
65	-55,18 MLWS	56,25	26	58	1.117	9,6	
66	-55,43 MLWS	56,50	25	60	1.142	10,0	
67	-55,68 MLWS	56,75	25	60	1.167	10,0	
68	-55,93 MLWS	57,00	27	63	1.194	9,3	
69	-56,18 MLWS	57,25	24	63	1.218	10,4	
70	-56,43 MLWS	57,50	33	67	1.251	7,6	
71	-56,68 MLWS	57,75	25	67	1.276	10,0	
72	-56,93 MLWS	58,00	23	67	1.299	10,9	
73	-57,18 MLWS	58,25	28	67	1.327	8,9	
74	-57,43 MLWS	58,50	27	70	1.354	9,3	
75	-57,68 MLWS	58,75	25	72	1.379	10,0	
76	-57,93 MLWS	59,00	27	72	1.406	9,3	
77	-58,18 MLWS	59,25	23	72	1.429	10,9	
78	-58,43 MLWS	59,50	25	90	1.454	10,0	
79	-58,68 MLWS	59,75	26	90	1.480	9,6	
80	-58,93 MLWS	60,00	30	95	1.510	8,3	
81	-59,18 MLWS	60,25	28	100	1.538	8,9	
82	-59,43 MLWS	60,50	25	110	1.563	10,0	
83	-59,68 MLWS	60,75	26	110	1.589	9,6	
84	-59,93 MLWS	61,00	28	110	1.617	8,9	
85	-60,18 MLWS	61,25	28	115	1.645	8,9	
86	-60,43 MLWS	61,50	25	120	1.670	10,0	
87	-60,68 MLWS	61,75	24	120	1.694	10,4	
88	-60,93 MLWS	62,00	20	115	1.714	12,5	
89	-61,18 MLWS	62,25	21	100	1.735	11,9	
90	-61,43 MLWS	62,50	28	100	1.763	8,9	
91	-61,68 MLWS	62,75	27	100	1.790	9,3	
92	-61,93 MLWS	63,00	25	110	1.815	10,0	
93	-62,18 MLWS	63,25	25	110	1.840	10,0	
94	-62,43 MLWS	63,50	25	115	1.865	10,0	
95	-62,68 MLWS	63,75	25	115	1.890	10,0	
96	-62,93 MLWS	64,00	27	115	1.917	9,3	
97	-63,18 MLWS	64,25	28	120	1.945	8,9	
98	-63,43 MLWS	64,50	27	125	1.972	9,3	
99	-63,68 MLWS	64,75	27	130	1.999	9,3	
100	-63,93 MLWS	65	26	140	2.025	9,6	
101	-64,18 MLWS	65,25	23	130	2.048	10,9	
102	-64,43 MLWS	65,50	26	135	2.074	9,6	
103	-64,68 MLWS	65,75	26	135	2.100	9,6	
104	-64,93 MLWS	66,00	28	140	2.128	8,9	
105	-65,18 MLWS	66,25	26	145	2.154	9,6	
106	-65,43 MLWS	66,50	25	155	2.179	10,0	
107	-65,68 MLWS	66,75	25	150	2.204	10,0	
108	-65,93 MLWS	67,00	25	160	2.229	10,0	
109	-66,18 MLWS	67,25	26	160	2.255	9,6	
110	-66,43 MLWS	67,50	26	160	2.281	9,6	
111	-66,68 MLWS	67,75	26	160	2.307	9,6	
112	-66,93 MLWS	68,00	28	160	2.335	8,9	
113	-67,18 MLWS	68,25	28	165	2.363	8,9	
114	-67,43 MLWS	68,50	24	175	2.387	10,4	
115	-67,68 MLWS	68,75	24	180	2.411	10,4	
116	-67,93 MLWS	69,00	24	190	2.435	10,4	
117	-68,18 MLWS	69,25	16	190	2.451	15,6	
118	-68,43 MLWS	69,50	19	180	2.470	13,2	
119	-68,68 MLWS	69,75	23	175	2.493	10,9	
120	-68,93 MLWS	70,00	26	180	2.519	9,6	
121	-69,18 MLWS	70,25	28	180	2.547	8,9	
122	-69,43 MLWS	70,50	28	185	2.575	8,9	
