N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,63 MLWS	38,75					
2	-37,88 MLWS	39,00	3	36	3	83	
3	-38,13 MLWS	39,25	7	36	10	36	
4	-38,38 MLWS	39,50	6	36	16	42	
5	-38,63 MLWS	39,75	6	36	22	42	
6	-38,88 MLWS	40,00	6	36	28	42	
7	-39,13 MLWS	40,25	5	36	33	50	
8	-39,38 MLWS	40,50	5	36	38	50	
9	-39,63 MLWS	40,75	5	36	43	50	
10	-39,88 MLWS	41,00	5	36	48	50	
11	-40,13 MLWS	41,25	5	36	53	50	
12	-40,38 MLWS	41,50	5	36	58	50	
13	-40,63 MLWS	41,75	6	36	64	42	
14	-40,88 MLWS	42,00	5	36	69	50	
15	-41,13 MLWS	42,25	5	36	74	50	
16	-41,38 MLWS	42,50	6	36	80	42	
17	-41,63 MLWS	42,75	6	36	86	42	
18	-41,88 MLWS	43,00	7	36	93	36	
19	-42,13 MLWS	43,25	6	36	99	42	
20	-42,38 MLWS	43,50	6	36	105	42	
21	-42,63 MLWS	43,75	6	36	111	42	
22	-42,88 MLWS	44,00	7	36	118	36	
23	-43,13 MLWS	44,25	6	36	124	42	
24	-43,38 MLWS	44,50	7	36	131	36	
25	-43,63 MLWS	44,75	7	36	138	36	
26	-43,88 MLWS	45,00	7	36	145	36	
27	-44,13 MLWS	45,25	7	36	152	36	
28	-44,38 MLWS	45,50	8	36	160	31	
29	-44,63 MLWS	45,75	8	36	168	31	
30	-44,88 MLWS	46,00	8	36	176	31	
31	-45,13 MLWS	46,25	8	36	184	31	
32	-45,38 MLWS	46,50	8	36	192	31	
33	-45,63 MLWS	46,75	8	36	200	31	
34	-45,88 MLWS	47,00	9	36	209	28	
35	-46,13 MLWS	47,25	10	36	219	25	
36	-46,38 MLWS	47,50	9	36	228	28	
37	-46,63 MLWS	47,75	9	36	237	28	
38	-46,88 MLWS	48,00	10	36	247	25	
39	-47,13 MLWS	48,25	10	36	257	25	
40	-47,38 MLWS	48,50	12	36	269	21	
41	-47,63 MLWS	48,75	12	36	281	21	
42	-47,88 MLWS	49,00	12	36	293	21	
43	-48,13 MLWS	49,25	12	36	305	21	
44	-48,38 MLWS	49,50	12	36	317	21	
45	-48,63 MLWS	49,75	16	36	333	16	
46	-48,88 MLWS	50,00	16	36	349	16	
47	-49,13 MLWS	50,25	16	36	365	16	
48	-49,38 MLWS	50,50	17	36	382	15	
49	-49,63 MLWS	50,75	17	36	399	15	
50	-49,88 MLWS	51,00	18	36	417	14	
51	-50,13 MLWS	51,25	18	36	435	13,9	
52	-50,38 MLWS	51,50	22	36	457	11,4	
53	-50,63 MLWS	51,75	24	36	481	10,4	
54	-50,88 MLWS	52,00	24	36	505	10,4	
55	-51,13 MLWS	52,25	24	36	529	10,4	
56	-51,38 MLWS	52,50	24	36	553	10,4	
57	-51,63 MLWS	52,75	26	36	579	9,6	
58	-51,88 MLWS	53,00	26	36	605	9,6	
59	-52,13 MLWS	53,25	31	36	636	8,1	
60	-52,38 MLWS	53,50	31	36	667	8,1	
61	-52,63 MLWS	53,75	31	36	698	8,1	
62	-52,88 MLWS	54,00	30	42	728	8,3	
63	-53,13 MLWS	54,25	30	42	758	8,3	
64	-53,38 MLWS	54,50	33	50	791	7,6	
65	-53,63 MLWS	54,75	21	59	812	11,9	
66	-53,88 MLWS	55,00	23	59	835	10,9	
67	-54,13 MLWS	55,25	22	59	857	11,4	
68	-54,38 MLWS	55,50	23	59	880	10,9	
69	-54,63 MLWS	55,75	21	59	901	11,9	
70	-54,88 MLWS	56,00	23	59	924	10,9	
71	-55,13 MLWS	56,25	23	59	947	10,9	
72	-55,38 MLWS	56,50	24	59	971	10,4	
73	-55,63 MLWS	56,75	24	59	995	10,4	
74	-55,88 MLWS	57,00	28	59	1.023	8,9	
75	-56,13 MLWS	57,25	26	66	1.049	9,6	
76	-56,38 MLWS	57,50	26	66	1.075	9,6	
77	-56,63 MLWS	57,75	28	69	1.103	8,9	
78	-56,88 MLWS	58,00	29	69	1.132	8,6	
79	-57,13 MLWS	58,25	27	90	1.159	9,3	
80	-57,38 MLWS	58,50	27	90	1.186	9,3	
81	-57,63 MLWS	58,75	27	90	1.213	9,3	
82	-57,88 MLWS	59,00	26	90	1.239	9,6	
83	-58,13 MLWS	59,25	27	90	1.266	9,3	
84	-58,38 MLWS	59,50	26	100	1.292	9,6	
85	-58,63 MLWS	59,75	26	100	1.318	9,6	
86	-58,88 MLWS	60,00	27	100	1.345	9,3	
87	-59,13 MLWS	60,25	25	100	1.370	10,0	
88	-59,38 MLWS	60,50	26	100	1.396	9,6	
89	-59,63 MLWS	60,75	29	100	1.425	8,6	
90	-59,88 MLWS	61,00	32	100	1.457	7,8	
91	-60,13 MLWS	61,25	31	100	1.488	8,1	
92	-60,38 MLWS	61,50	31	110	1.519	8,1	
93	-60,63 MLWS	61,75	31	110	1.550	8,1	
94	-60,88 MLWS	62,00	31	110	1.581	8,1	
95	-61,13 MLWS	62,25	31	110	1.612	8,1	
96	-61,38 MLWS	62,50	32	120	1.644	7,8	
97	-61,63 MLWS	62,75	32	120	1.676	7,8	
98	-61,88 MLWS	63,00	32	120	1.708	7,8	
99	-62,13 MLWS	63,25	34	130	1.742	7,4	
100	-62,38 MLWS	63,5	32	130	1.774	7,8	
101	-62,63 MLWS	63,75	30	140	1.804	8,3	
102	-62,88 MLWS	64,00	30	140	1.834	8,3	
